[Epoch 1] Batch 11000/44996 | Loss: 0.0001
[Epoch 1] Batch 11100/44996 | Loss: 0.0001
[Epoch 1] Batch 11200/44996 | Loss: 0.0001
[Epoch 1] Batch 11300/44996 | Loss: 0.0000
[Epoch 1] Batch 11400/44996 | Loss: 0.0000
[Epoch 1] Batch 11500/44996 | Loss: 0.0000
[Epoch 1] Batch 11600/44996 | Loss: 0.0002
[Epoch 1] Batch 11700/44996 | Loss: 0.0000
[Epoch 1] Batch 11800/44996 | Loss: 0.0000
[Epoch 1] Batch 11900/44996 | Loss: 0.0001
[Epoch 1] Batch 12000/44996 | Loss: 0.0000
[Epoch 1] Batch 12100/44996 | Loss: 0.0000
[Epoch 1] Batch 12200/44996 | Loss: 0.0000
[Epoch 1] Batch 12300/44996 | Loss: 0.0000
[Epoch 1] Batch 12400/44996 | Loss: 0.0000
[Epoch 1] Batch 12500/44996 | Loss: 0.0000
[Epoch 1] Batch 12600/44996 | Loss: 0.0000
[Epoch 1] Batch 12700/44996 | Loss: 0.0000
[Epoch 1] Batch 12800/44996 | Loss: 0.0000
[Epoch 1] Batch 12900/44996 | Loss: 0.0000
[Epoch 1] Batch 13000/44996 | Loss: 0.0000
[Epoch 1] Batch 13100/44996 | Loss: 0.0000
[Epoch 1] Batch 13200/44996 | Loss: 0.0000
[Epoch 1] Batch 13300/44996 | Loss: 0.0001
[Epoch 1] Batch 13400/44996 | Loss: 0.0000
[Epoch 1] Batch 13500/44996 | Loss: 0.0000
[Epoch 1] Batch 13600/44996 | Loss: 0.0000
[Epoch 1] Batch 13700/44996 | Loss: 0.0000
[Epoch 1] Batch 13800/44996 | Loss: 0.0000
[Epoch 1] Batch 13900/44996 | Loss: 0.0000
[Epoch 1] Batch 14000/44996 | Loss: 0.0000
[Epoch 1] Batch 14100/44996 | Loss: 0.0000
[Epoch 1] Batch 14200/44996 | Loss: 0.0000
[Epoch 1] Batch 14300/44996 | Loss: 0.0000
[Epoch 1] Batch 14400/44996 | Loss: 0.0000
[Epoch 1] Batch 14500/44996 | Loss: 0.0000
[Epoch 1] Batch 14600/44996 | Loss: 0.0000
[Epoch 1] Batch 14700/44996 | Loss: 0.0000
[Epoch 1] Batch 14800/44996 | Loss: 0.0000
[Epoch 1] Batch 14900/44996 | Loss: 0.0000
[Epoch 1] Batch 15000/44996 | Loss: 0.0000
[Epoch 1] Batch 15100/44996 | Loss: 0.0000
[Epoch 1] Batch 15200/44996 | Loss: 0.0000
[Epoch 1] Batch 15300/44996 | Loss: 0.0000
[Epoch 1] Batch 15400/44996 | Loss: 0.0000
[Epoch 1] Batch 15500/44996 | Loss: 0.0000
[Epoch 1] Batch 15600/44996 | Loss: 0.0000
[Epoch 1] Batch 15700/44996 | Loss: 0.0000
[Epoch 1] Batch 15800/44996 | Loss: 0.0000
[Epoch 1] Batch 15900/44996 | Loss: 0.0001
[Epoch 1] Batch 16000/44996 | Loss: 0.0001
[Epoch 1] Batch 16100/44996 | Loss: 0.0001
[Epoch 1] Batch 16200/44996 | Loss: 0.0000
[Epoch 1] Batch 16300/44996 | Loss: 0.0000
[Epoch 1] Batch 16400/44996 | Loss: 0.0000
[Epoch 1] Batch 16500/44996 | Loss: 0.0000
[Epoch 1] Batch 16600/44996 | Loss: 0.0000
[Epoch 1] Batch 16700/44996 | Loss: 0.0000
[Epoch 1] Batch 16800/44996 | Loss: 0.0002
[Epoch 1] Batch 16900/44996 | Loss: 0.0000
[Epoch 1] Batch 17000/44996 | Loss: 0.0000
[Epoch 1] Batch 17100/44996 | Loss: 0.0000
[Epoch 1] Batch 17200/44996 | Loss: 0.0000
[Epoch 1] Batch 17300/44996 | Loss: 0.0000
[Epoch 1] Batch 17400/44996 | Loss: 0.0001
[Epoch 1] Batch 17500/44996 | Loss: 0.0000
[Epoch 1] Batch 17600/44996 | Loss: 0.0000
[Epoch 1] Batch 17700/44996 | Loss: 0.0000
[Epoch 1] Batch 17800/44996 | Loss: 0.0000
[Epoch 1] Batch 17900/44996 | Loss: 0.0000
[Epoch 1] Batch 18000/44996 | Loss: 0.0000
[Epoch 1] Batch 18100/44996 | Loss: 0.0001
[Epoch 1] Batch 18200/44996 | Loss: 0.0000
[Epoch 1] Batch 18300/44996 | Loss: 0.0000
[Epoch 1] Batch 18400/44996 | Loss: 0.0000
[Epoch 1] Batch 18500/44996 | Loss: 0.0000
[Epoch 1] Batch 18600/44996 | Loss: 0.0000
[Epoch 1] Batch 18700/44996 | Loss: 0.0000
[Epoch 1] Batch 18800/44996 | Loss: 0.0000
[Epoch 1] Batch 18900/44996 | Loss: 0.0000
[Epoch 1] Batch 19000/44996 | Loss: 0.0000
[Epoch 1] Batch 19100/44996 | Loss: 0.0000
